Country,Employment Status,Occupation_cat,sex,Highest education level completed,Ethnicity Simplified,Age,CRT2_Total_adj,BCRT_Total,CRT_Combined,NFC_Total,BFI_Extraversion,BFI_Agreeableness,BFI_Conscientiousness,BFI_Neuroticism,BFI_Openness,BFI_Attn_Pass
United States,Working full-time,"Managers, Directors and Senior Officials",Female,High school diploma/A-levels,Black,58,2.59964685544956,0.0,2.0,4.388888888888889,4.5,3.5,5.0,4.0,3.5,1
United Kingdom,Working full-time,Professional Occupations,Female,Undergraduate degree (BA/BSc/other),White,52,2.86654895181652,0.0,4.0,4.0,4.5,3.5,3.5,2.0,3.5,1
United Kingdom,Other,Associate Professional and Technical Occupations,Male,Technical/community college,White,27,2.7330979036330403,0.0,1.0,2.7777777777777777,3.5,2.5,4.0,3.0,2.0,1
United States,Working part-time,Professional Occupations,Female,Undergraduate degree (BA/BSc/other),White,42,2.46619580726608,0.0,3.0,4.0,2.5,2.5,4.0,3.0,5.0,1
United Kingdom,Working full-time,Professional Occupations,Female,Graduate degree (MA/MSc/MPhil/other),Mixed,63,2.46619580726608,4.0,2.0,4.0,2.5,1.5,3.0,3.0,4.0,1
United Kingdom,Retired,Professional Occupations,Female,High school diploma/A-levels,White,47,1.73309790363304,2.0,4.0,2.3333333333333335,2.5,4.5,3.5,1.0,3.0,1
United Kingdom,Working full-time,Professional Occupations,Male,Undergraduate degree (BA/BSc/other),White,37,2.7330979036330403,0.0,2.0,3.7222222222222223,3.0,3.5,3.5,4.0,3.5,1
United States,Retired,"Managers, Directors and Senior Officials",Male,Undergraduate degree (BA/BSc/other),Asian,43,2.46619580726608,1.0,5.0,2.0555555555555554,3.5,3.5,3.0,3.0,3.0,1
United Kingdom,Working full-time,Sales and Customer Service Occupations,Female,Graduate degree (MA/MSc/MPhil/other),White,36,1.4661958072660801,0.0,5.0,3.5,2.0,4.0,4.5,3.0,5.0,1
United Kingdom,Working full-time,Associate Professional and Technical Occupations,Female,High school diploma/A-levels,White,26,2.46619580726608,3.0,5.0,3.4444444444444446,1.0,4.5,3.5,3.0,4.5,1
United Kingdom,Working full-time,Professional Occupations,Male,Secondary education (e.g. GED/GCSE),White,33,2.59964685544956,1.0,4.0,3.5,4.0,3.0,5.0,3.0,1.5,1
United Kingdom,Working full-time,Professional Occupations,Male,Secondary education (e.g. GED/GCSE),White,25,2.46619580726608,1.0,4.0,4.777777777777778,2.0,4.0,5.0,4.0,4.5,1
United Kingdom,Working full-time,Associate Professional and Technical Occupations,Male,Undergraduate degree (BA/BSc/other),Asian,42,2.86654895181652,0.0,4.0,2.8333333333333335,3.0,5.0,3.0,2.5,4.0,1
United Kingdom,Working part-time,"Managers, Directors and Senior Officials",Male,Graduate degree (MA/MSc/MPhil/other),White,47,2.86654895181652,2.0,4.0,4.222222222222222,5.0,4.0,5.0,3.0,3.0,1
United Kingdom,A homemaker or stay-at-home parent,Other,Male,Graduate degree (MA/MSc/MPhil/other),White,63,3.59964685544956,1.0,8.0,4.0,3.0,2.0,3.5,2.0,3.0,1
United Kingdom,Working full-time,Sales and Customer Service Occupations,Female,Undergraduate degree (BA/BSc/other),White,56,0.46619580726608023,1.0,3.0,3.5,5.0,3.0,5.0,2.5,5.0,0
United Kingdom,Working full-time,Professional Occupations,Male,High school diploma/A-levels,White,47,3.7330979036330403,2.0,4.0,1.9444444444444444,1.5,2.0,2.0,4.5,3.5,1
United Kingdom,Working full-time,Professional Occupations,Female,Technical/community college,White,30,0.5996468554495602,2.0,4.0,2.388888888888889,4.5,3.0,3.5,3.5,3.0,1
United States,Working full-time,Associate Professional and Technical Occupations,Male,High school diploma/A-levels,White,27,1.4661958072660801,4.0,4.0,3.6666666666666665,2.0,4.5,4.0,1.5,5.0,1
United Kingdom,Working full-time,Professional Occupations,Female,Undergraduate degree (BA/BSc/other),White,62,2.46619580726608,0.0,4.0,3.8333333333333335,3.5,4.5,3.5,5.0,4.5,1
United Kingdom,Working full-time,"Managers, Directors and Senior Officials",Female,Technical/community college,White,24,0.46619580726608023,0.0,0.0,2.888888888888889,3.0,4.0,4.5,5.0,3.0,1
United States,Working full-time,Professional Occupations,Male,High school diploma/A-levels,White,61,1.73309790363304,0.0,2.0,3.7222222222222223,3.0,3.5,4.5,3.0,3.0,1
United States,Working part-time,Administrative and Secretarial Occupations,Male,Graduate degree (MA/MSc/MPhil/other),Asian,55,2.59964685544956,0.0,3.0,3.6666666666666665,1.5,1.0,3.0,4.5,2.5,1
United Kingdom,Working part-time,Professional Occupations,Male,High school diploma/A-levels,Mixed,28,1.5996468554495602,4.0,6.0,4.5,1.0,3.5,5.0,3.5,4.0,1
United States,Working full-time,Sales and Customer Service Occupations,Prefer not to say,High school diploma/A-levels,White,64,1.8665489518165201,4.0,5.0,4.388888888888889,1.5,4.0,5.0,1.5,3.0,1
United Kingdom,Working full-time,Associate Professional and Technical Occupations,Male,High school diploma/A-levels,Asian,37,3.7330979036330403,0.0,3.0,4.5,2.5,5.0,4.5,2.0,5.0,1
United Kingdom,Working full-time,Skilled Trades Occupations,Female,Undergraduate degree (BA/BSc/other),White,42,1.0,1.0,2.0,2.2777777777777777,4.0,2.5,2.5,4.5,3.5,0
United Kingdom,Retired,Professional Occupations,Male,Undergraduate degree (BA/BSc/other),White,51,1.4661958072660801,1.0,4.0,4.666666666666667,3.5,2.0,5.0,2.0,3.0,1
United Kingdom,Working full-time,Professional Occupations,Female,High school diploma/A-levels,White,50,0.86654895181652,2.0,3.0,4.666666666666667,1.0,3.0,5.0,3.0,4.0,1
United Kingdom,Working full-time,Associate Professional and Technical Occupations,Male,Graduate degree (MA/MSc/MPhil/other),White,19,2.46619580726608,1.0,1.0,3.6666666666666665,2.0,4.5,4.5,3.0,4.0,1
United States,Working full-time,Professional Occupations,Male,Graduate degree (MA/MSc/MPhil/other),White,25,3.46619580726608,3.0,8.0,3.0,2.0,2.5,4.5,1.5,4.5,1
United States,Other,Associate Professional and Technical Occupations,Female,Technical/community college,White,40,2.46619580726608,2.0,4.0,3.8333333333333335,1.0,2.0,3.5,4.5,3.5,1
United Kingdom,A homemaker or stay-at-home parent,Professional Occupations,Female,Technical/community college,Mixed,37,1.4661958072660801,1.0,3.0,3.8333333333333335,3.5,4.5,5.0,3.0,3.0,1
United Kingdom,Working full-time,"Managers, Directors and Senior Officials",Male,High school diploma/A-levels,Black,39,3.46619580726608,0.0,3.0,3.7777777777777777,2.0,4.5,3.5,2.0,3.5,1
United Kingdom,Unemployed and looking for work,Administrative and Secretarial Occupations,Female,High school diploma/A-levels,White,34,1.4661958072660801,2.0,3.0,3.2777777777777777,1.0,3.5,4.5,4.0,5.0,1
United States,Working full-time,"Managers, Directors and Senior Officials",Male,High school diploma/A-levels,Mixed,43,1.4661958072660801,0.0,4.0,2.0,2.5,4.5,5.0,4.0,5.0,1
United States,Retired,"Caring, Leisure and Other Service Occupations",Male,Graduate degree (MA/MSc/MPhil/other),White,62,1.73309790363304,4.0,4.0,3.0,4.5,5.0,5.0,3.5,3.0,1
United Kingdom,Retired,Administrative and Secretarial Occupations,Female,High school diploma/A-levels,White,31,1.4661958072660801,4.0,2.0,3.9444444444444446,4.0,3.5,4.5,1.0,4.0,1
United Kingdom,Working part-time,"Managers, Directors and Senior Officials",Female,Graduate degree (MA/MSc/MPhil/other),Black,21,2.59964685544956,1.0,3.0,3.111111111111111,3.5,3.5,3.5,2.0,3.5,1
United Kingdom,Working full-time,Administrative and Secretarial Occupations,Female,Graduate degree (MA/MSc/MPhil/other),White,58,1.8665489518165201,1.0,3.0,2.3333333333333335,5.0,3.0,4.5,2.5,4.5,0
United Kingdom,Working full-time,Professional Occupations,Female,Undergraduate degree (BA/BSc/other),White,55,2.7330979036330403,0.0,3.0,3.888888888888889,1.5,3.0,4.0,2.0,3.5,1
United Kingdom,Working full-time,"Process, Plant and Machine Operatives",Female,High school diploma/A-levels,White,53,2.59964685544956,2.0,3.0,2.111111111111111,2.0,4.0,4.0,2.0,1.5,1
United Kingdom,Working full-time,Professional Occupations,Female,Undergraduate degree (BA/BSc/other),White,32,1.4661958072660801,2.0,4.0,4.444444444444445,2.5,3.5,4.0,3.0,4.0,1
United States,Other,Other,Male,Graduate degree (MA/MSc/MPhil/other),White,38,2.59964685544956,2.0,4.0,3.0555555555555554,3.5,5.0,3.5,2.0,4.0,1
United Kingdom,Working full-time,Professional Occupations,Male,Graduate degree (MA/MSc/MPhil/other),White,32,3.7330979036330403,3.0,6.0,1.7777777777777777,1.5,3.5,4.5,2.0,4.0,1
United States,Working full-time,Associate Professional and Technical Occupations,Male,Technical/community college,White,37,2.59964685544956,2.0,3.0,3.5555555555555554,5.0,4.5,5.0,2.5,3.5,1
United Kingdom,Working full-time,Sales and Customer Service Occupations,Male,Graduate degree (MA/MSc/MPhil/other),White,37,4.0,0.0,3.0,1.7777777777777777,2.5,3.5,3.5,3.0,3.5,1
United Kingdom,Working full-time,"Caring, Leisure and Other Service Occupations",Female,Graduate degree (MA/MSc/MPhil/other),Asian,41,3.46619580726608,1.0,6.0,3.1666666666666665,3.5,4.0,4.0,2.0,4.0,1
United States,Other,Other,Female,Graduate degree (MA/MSc/MPhil/other),White,61,0.5996468554495602,1.0,3.0,3.5555555555555554,1.5,2.5,4.5,3.0,5.0,0
United Kingdom,Working full-time,Associate Professional and Technical Occupations,Female,Technical/community college,White,63,2.46619580726608,2.0,6.0,4.166666666666667,2.5,3.5,4.5,3.0,5.0,0
United Kingdom,Working full-time,Elementary Occupations,Female,High school diploma/A-levels,White,47,3.7330979036330403,3.0,6.0,4.277777777777778,1.5,3.5,5.0,4.0,4.0,1
United Kingdom,Working part-time,Associate Professional and Technical Occupations,Male,Graduate degree (MA/MSc/MPhil/other),White,38,2.46619580726608,0.0,4.0,3.888888888888889,4.0,5.0,3.5,4.0,3.0,1
United Kingdom,Unemployed and looking for work,Professional Occupations,Female,Undergraduate degree (BA/BSc/other),Mixed,54,2.46619580726608,3.0,4.0,4.222222222222222,3.5,5.0,4.5,2.5,3.0,1
United Kingdom,Working full-time,Administrative and Secretarial Occupations,Female,Doctorate degree (PhD/other),White,40,0.5996468554495602,1.0,2.0,3.2777777777777777,2.0,5.0,3.5,1.5,2.0,1
United Kingdom,Working part-time,"Process, Plant and Machine Operatives",Female,Undergraduate degree (BA/BSc/other),White,54,2.59964685544956,2.0,8.0,4.5,5.0,4.0,5.0,4.5,4.0,1
United States,Working full-time,Professional Occupations,Female,Undergraduate degree (BA/BSc/other),White,23,0.46619580726608023,1.0,4.0,1.7777777777777777,3.0,4.0,3.0,3.0,5.0,1
United Kingdom,Working part-time,Associate Professional and Technical Occupations,Male,Undergraduate degree (BA/BSc/other),White,53,3.0,0.0,3.0,3.0,3.0,4.5,3.0,4.0,3.0,0
United Kingdom,Working full-time,Sales and Customer Service Occupations,Male,Undergraduate degree (BA/BSc/other),White,58,3.7330979036330403,4.0,5.0,3.9444444444444446,1.5,4.0,5.0,5.0,2.5,1
United Kingdom,Working full-time,Administrative and Secretarial Occupations,Female,Graduate degree (MA/MSc/MPhil/other),White,46,2.59964685544956,3.0,3.0,3.7222222222222223,1.5,5.0,2.5,1.0,2.0,1
United States,Working full-time,Sales and Customer Service Occupations,Female,Undergraduate degree (BA/BSc/other),White,46,2.59964685544956,1.0,5.0,3.7222222222222223,1.0,2.0,4.0,2.0,3.5,1
United States,Working full-time,Administrative and Secretarial Occupations,Female,Undergraduate degree (BA/BSc/other),White,56,3.46619580726608,3.0,5.0,5.0,3.5,3.5,4.0,3.5,5.0,1
United Kingdom,Working full-time,Professional Occupations,Male,High school diploma/A-levels,White,39,1.73309790363304,3.0,7.0,2.7777777777777777,1.0,2.5,5.0,2.0,4.0,1
United States,Working part-time,"Managers, Directors and Senior Officials",Female,Undergraduate degree (BA/BSc/other),Mixed,32,2.0,1.0,5.0,3.8333333333333335,1.0,4.5,4.0,1.5,4.0,1
United States,Working full-time,Skilled Trades Occupations,Male,Undergraduate degree (BA/BSc/other),White,60,1.5996468554495602,3.0,5.0,3.0555555555555554,3.0,4.5,5.0,2.5,4.0,1
United Kingdom,Working part-time,Professional Occupations,Male,Secondary education (e.g. GED/GCSE),White,51,1.4661958072660801,0.0,3.0,3.7222222222222223,2.0,4.0,5.0,1.5,5.0,1
United States,Working full-time,Professional Occupations,Male,Undergraduate degree (BA/BSc/other),White,50,0.7330979036330401,0.0,1.0,1.9444444444444444,1.5,3.5,3.5,3.5,4.0,1
United Kingdom,A homemaker or stay-at-home parent,Professional Occupations,Male,Undergraduate degree (BA/BSc/other),White,31,2.7330979036330403,0.0,4.0,3.5,3.5,2.0,5.0,4.0,4.0,1
United States,Working full-time,Administrative and Secretarial Occupations,Male,Graduate degree (MA/MSc/MPhil/other),Asian,56,0.0,2.0,3.0,3.7222222222222223,1.0,3.0,4.5,1.0,5.0,1
United Kingdom,Working part-time,Professional Occupations,Male,Graduate degree (MA/MSc/MPhil/other),Asian,64,2.86654895181652,2.0,4.0,3.7222222222222223,3.0,5.0,3.5,2.0,3.5,1
United Kingdom,Working part-time,Administrative and Secretarial Occupations,Female,Undergraduate degree (BA/BSc/other),White,35,2.59964685544956,2.0,3.0,1.7777777777777777,3.5,2.5,4.0,2.0,4.0,1
United Kingdom,Working full-time,"Caring, Leisure and Other Service Occupations",Female,Undergraduate degree (BA/BSc/other),White,32,2.7330979036330403,0.0,4.0,3.7777777777777777,3.5,3.0,3.5,2.0,4.0,1
United Kingdom,Working full-time,Professional Occupations,Female,Technical/community college,White,58,2.86654895181652,0.0,7.0,2.1666666666666665,3.5,4.0,3.0,1.5,2.5,1
United Kingdom,Working full-time,Sales and Customer Service Occupations,Male,High school diploma/A-levels,Asian,47,3.0,0.0,4.0,3.0,5.0,5.0,5.0,3.5,4.5,1
United Kingdom,Working full-time,Associate Professional and Technical Occupations,Male,Undergraduate degree (BA/BSc/other),White,56,0.5996468554495602,0.0,3.0,3.7222222222222223,2.5,4.5,4.0,4.5,4.5,1
United Kingdom,Working full-time,Professional Occupations,Male,Undergraduate degree (BA/BSc/other),White,34,1.0,2.0,3.0,1.3333333333333333,3.0,3.5,3.5,2.5,1.5,1
United Kingdom,Working full-time,Administrative and Secretarial Occupations,Female,Technical/community college,White,58,1.8665489518165201,3.0,4.0,3.7222222222222223,3.0,3.5,5.0,3.0,3.5,1
United Kingdom,Working full-time,Professional Occupations,Female,Secondary education (e.g. GED/GCSE),Asian,49,2.46619580726608,1.0,5.0,2.1666666666666665,1.5,2.0,2.5,1.0,3.0,1
United States,Working part-time,Sales and Customer Service Occupations,Female,Graduate degree (MA/MSc/MPhil/other),White,30,1.8665489518165201,4.0,6.0,1.3333333333333333,2.0,5.0,4.0,3.0,4.0,1
United States,Working full-time,"Managers, Directors and Senior Officials",Female,Undergraduate degree (BA/BSc/other),White,54,3.0,1.0,5.0,3.0,3.0,5.0,5.0,1.0,3.0,1
United Kingdom,Working full-time,Associate Professional and Technical Occupations,Female,Undergraduate degree (BA/BSc/other),White,56,2.46619580726608,1.0,2.0,4.444444444444445,3.5,1.5,5.0,1.5,4.5,1
United Kingdom,A homemaker or stay-at-home parent,Sales and Customer Service Occupations,Female,Undergraduate degree (BA/BSc/other),White,39,3.59964685544956,1.0,5.0,3.5,3.0,4.5,5.0,3.0,5.0,1
United Kingdom,Working part-time,Professional Occupations,Female,Technical/community college,White,58,3.0,2.0,5.0,4.055555555555555,2.5,5.0,5.0,3.5,3.0,1
United Kingdom,Working full-time,Professional Occupations,Female,High school diploma/A-levels,White,53,2.7330979036330403,4.0,6.0,3.9444444444444446,3.5,4.5,3.5,1.0,4.0,1
United Kingdom,Student,Student,Male,Undergraduate degree (BA/BSc/other),White,30,2.59964685544956,1.0,2.0,3.6666666666666665,2.0,2.0,5.0,2.0,5.0,1
United Kingdom,Working full-time,Associate Professional and Technical Occupations,Male,Graduate degree (MA/MSc/MPhil/other),White,62,2.46619580726608,2.0,5.0,3.2777777777777777,1.5,4.0,3.5,2.0,4.5,1
United Kingdom,Working full-time,"Managers, Directors and Senior Officials",Male,Undergraduate degree (BA/BSc/other),White,37,1.4661958072660801,1.0,7.0,2.0555555555555554,2.0,3.5,4.5,3.5,4.0,1
United Kingdom,Unemployed and looking for work,Professional Occupations,Male,Undergraduate degree (BA/BSc/other),White,64,2.46619580726608,1.0,1.0,2.2777777777777777,3.0,3.0,3.5,3.5,4.0,1
United Kingdom,Working full-time,Professional Occupations,Male,Undergraduate degree (BA/BSc/other),White,25,2.86654895181652,2.0,4.0,3.611111111111111,2.0,1.5,5.0,1.5,2.5,1
United Kingdom,Other,Administrative and Secretarial Occupations,Male,Graduate degree (MA/MSc/MPhil/other),White,44,2.59964685544956,0.0,4.0,3.888888888888889,5.0,3.0,2.5,1.5,3.0,1
United Kingdom,Working full-time,"Managers, Directors and Senior Officials",Male,High school diploma/A-levels,White,36,3.46619580726608,2.0,4.0,3.8333333333333335,2.0,2.5,5.0,1.5,4.0,1
United Kingdom,Working full-time,Professional Occupations,Male,Undergraduate degree (BA/BSc/other),White,38,2.86654895181652,2.0,3.0,4.777777777777778,4.0,5.0,5.0,2.5,4.0,1
United Kingdom,Retired,Associate Professional and Technical Occupations,Female,Graduate degree (MA/MSc/MPhil/other),Asian,38,2.7330979036330403,1.0,3.0,3.8333333333333335,3.5,2.0,3.0,1.5,2.5,1
